id,city_name,district_id
1,ADANA,4
2,ADIYAMAN,4
3,AFYONKARAHISAR,3
4,AGRI,2
5,AMASYA,6
6,ANKARA,5
7,ANTALYA,1
8,ARTVIN,6
9,AYDIN,3
10,BALIKESIR,7
11,BILECIK,7
12,BINGOL,2
13,BITLIS,2
14,BOLU,6
15,BURDUR,1
16,BURSA,7
17,CANAKKALE,7
18,CANKIRI,5
19,CORUM,6
20,DENIZLI,3
21,DIYARBAKIR,4
22,EDIRNE,7
23,ELAZIG,2
24,ERZINCAN,2
25,ERZURUM,2
26,ESKISEHIR,5
27,GAZIANTEP,4
28,GIRESUN,6
29,GUMUSHANE,6
30,HAKKARI,2
31,HATAY,1
32,ISPARTA,1
33,MERSIN,1
34,ISTANBUL,7
35,IZMIR,3
36,KARS,2
37,KASTAMONU,6
38,KAYSERI,5
39,KIRKLARELI,7
40,KIRSEHIR,5
41,KOCAELI,7
42,KONYA,5
43,KUTAHYA,3
44,MALATYA,2
45,MANISA,3
46,KAHRAMANMARAS,1
47,MARDIN,4
48,MUGLA,3
49,MUS,2
50,NEVSEHIR,5
51,NIGDE,5
52,ORDU,6
53,RIZE,6
54,SAKARYA,7
55,SAMSUN,6
56,SIIRT,4
57,SINOP,6
58,SIVAS,5
59,TEKIRDAG,7
60,TOKAT,6
61,TRABZON,6
62,TUNCELI,2
63,SANLIURFA,4
64,USAK,3
65,VAN,2
66,YOZGAT,5
67,ZONGULDAK,6
68,AKSARAY,5
69,BAYBURT,6
70,KARAMAN,5
71,KIRIKKALE,5
72,BATMAN,4
73,SIRNAK,4
74,BARTIN,6
75,ARDAHAN,2
76,IGDIR,2
77,YALOVA,7
78,KARABUK,6
79,KILIS,4
80,OSMANIYE,1
81,DUZCE,6
